nID;sName;nID_PlaceType;sID_UA;sNameOriginal
1;Дніпропетровськ;3;1210100000;
2;Кривий Ріг;3;1211000000;
3;Львів;3;4610100000;
4;Івано-Франківськ;3;2610100000;
5;Калуш;3;2610400000;
6;Київ;3;8000000000;
7;Херсон;3;6510100000;
8;Кузнецовськ;3;5610700000;
9;Луцьк;3;710100000;
10;Тернопіль;3;6110100000;
11;Харків;3;6310100000;
12;Одеса;3;5110100000;
13;Донецьк;3;1410100000;
14;Запоріжжя;3;2310100000;
15;Миколаїв;3;4810100000;
16;Маріуполь;3;1412300000;
17;Луганськ;3;4410100000;
18;Макіївка;3;1413500000;
19;Вінниця;3;510100000;
20;Сімферополь;3;110100000;
21;Полтава;3;5310100000;
22;Чернігів;3;7410100000;
23;Черкаси;3;7110100000;
24;Суми;3;5910100000;
25;Горлівка;3;1410600000;
26;Хмельницький;3;6810100000;
27;Житомир;3;1810100000;
28;Дніпродзержинськ;3;1210400000;
29;Кіровоград;3;3510100000;
30;Рівне;3;5610100000;
31;Чернівці;3;7310100000;
32;Кременчук;3;5310400000;
33;Біла Церква;3;3210300000;
34;Краматорськ;3;1412900000;
35;Мелітополь;3;2310700000;
36;Керч;3;111200000;
37;Нікополь;3;1211600000;
38;Слов'янськ;3;1414100000;
39;Бердянськ;3;2310400000;
40;Сєвєродонецьк;3;4412900000;
41;Алчевськ;3;4411200000;
42;Павлоград;3;1212400000;
43;Ужгород;3;2110100000;
44;Лисичанськ;3;4411800000;
45;Євпаторія;3;110900000;
46;Єнакієве;3;1412000000;
47;Кам'янець-Подільський;3;6810400000;
48;Костянтинівка;3;1412600000;
49;Красний Луч;3;4411600000;
50;Олександрія;3;3520300000;
51;Конотоп;3;5910400000;
52;Стаханов;3;4413100000;
53;Умань;3;7110800000;
54;Бердичів;3;1810400000;
55;Шостка;3;5911000000;
56;Бровари;3;3210600000;
57;Ізмаїл;3;5110600000;
58;Артемівськ;3;1410300000;
59;Мукачеве;3;2110400000;
60;Ялта;3;111900000;
61;Дрогобич;3;4610600000;
62;Ніжин;3;7410400000;
63;Феодосія;3;111600000;
64;Свердловськ;3;4412700000;
65;Новомосковськ;3;1211900000;
66;Торез;3;1414700000;
67;Червоноград;3;4611800000;
68;Первомайськ;3;4412100000;
69;Сміла;3;7110500000;
70;Красноармійськ;3;1413200000;
71;Коростень;3;1810700000;
72;Ковель;3;710400000;
73;Рубіжне;3;4412500000;
74;Прилуки;3;7410700000;
75;Дружківка;3;1411700000;
76;Харцизьк;3;1415000000;
77;Лозова;3;6311000000;
78;Антрацит;3;4410300000;
79;Стрий;3;4611200000;
80;Коломия;3;2610600000;
81;Шахтарськ;3;1415300000;
82;Сніжне;3;1414400000;
83;Новоград-Волинський;3;1811000000;
84;Енергодар;3;2312500000;
85;Ізюм;3;6310400000;
86;Димитров;3;1411300000;
87;Брянка;3;4410500000;
88;Іллічівськ;3;5110800000;
89;Бориспіль;3;3210500000;
90;Нововолинськ;3;710700000;
91;Ровеньки;3;4412300000;
92;Жовті Води;3;1210700000;
93;Лубни;3;5310700000;
94;Нова Каховка;3;6510700000;
95;Фастів;3;3211200000;
96;Білгород-Дністровський;3;5110300000;
97;Комсомольськ;3;5310200000;
98;Краснодон;3;4411400000;
99;Ромни;3;5910700000;
100;Охтирка;3;5910200000;
101;Світловодськ;3;3510900000;
102;Марганець;3;1211300000;
103;Шепетівка;3;6810700000;
104;Орджонікідзе;3;1212100000;
105;Дзержинськ;3;1411200000;
106;Джанкой;3;110600000;
107;Первомайськ;3;4810400000;
108;Миргород;3;5310900000;
109;Вознесенськ;3;4810200000;
110;Котовськ;3;5111200000;
111;Ірпінь;3;3210900000;
112;Васильків;3;3210700000;
113;Дубно;3;5610300000;
114;Володимир-Волинський;3;710200000;
115;Каховка;3;6510400000;
116;Южноукраїнськ;3;4810800000;
117;Борислав;3;4610300000;
118;Ясинувата;3;1415500000;
119;Жмеринка;3;510300000;
120;Авдіївка;3;1410200000;
121;Чугуїв;3;6312000000;
122;Самбір;3;4610900000;
123;Токмак;3;2311000000;
124;Боярка;3;3222410300;
125;Глухів;3;5910300000;
126;Добропілля;3;1411500000;
127;Старокостянтинів;3;6810800000;
128;Кіровськ;3;1423055700;
129;Вишневе;3;3222410600;
130;Нетішин;3;6810500000;
131;Славута;3;6810600000;
132;Могилів-Подільський;3;510400000;
133;Обухів;3;3211600000;
134;Первомайський;3;6311500000;
135;Куп'янськ;3;6310700000;
136;Балаклія;3;6320210100;
137;Синельникове;3;1213000000;
138;Переяслав-Хмельницький;3;3211000000;
139;Алушта;3;110300000;
140;Трускавець;3;4611500000;
141;Красноперекопськ;3;111300000;
142;Кіровське;3;121655100;
143;Костопіль;3;5623410100;
144;Дебальцеве;3;1410900000;
145;Перевальськ;3;4423610100;
146;Саки;3;111400000;
147;Знам'янка;3;3510600000;
148;Тернівка;3;1213500000;
149;Першотравенськ;3;1212600000;
150;Хуст;3;2110800000;
151;Чортків;3;6110300000;
152;Лебедин;3;5910500000;
153;Золотоноша;3;7110400000;
154;Буча;3;3210800000;
155;Новий Розділ;3;4610800000;
156;Красний Лиман;3;1413300000;
157;Сарни;3;5625410100;
158;Малин;3;1810900000;
159;Хмільник;3;510900000;
160;Бахчисарай;3;120410100;
161;Селидове;3;1413800000;
162;Берегове;3;2110200000;
163;Канів;3;7110300000;
164;Козятин;3;510500000;
165;Новояворівськ;3;4625810500;
166;Коростишів;3;1822510100;
167;Попасна;3;4423810100;
168;Виноградів;3;2121210100;
169;Гайсин;3;520810100;
170;Молодогвардійськ;3;4411470400;
171;Кролевець;3;5922610100;
172;Мерефа;3;6325110700;
173;Волноваха;3;1421510100;
174;Здолбунів;3;5622610100;
175;Кремінна;3;4421610100;
176;Славутич;3;3211500000;
177;Докучаєвськ;3;1411600000;
178;Люботин;3;6311200000;
179;Цюрупинськ;3;6525010100;
180;Южне;3;5111700000;
181;Армянськ;3;111500000;
182;Вільногірськ;3;1210200000;
183;Яготин;3;3225510100;
184;Суходільськ;3;4411470700;
185;Золочів;3;6322655100;
186;Тростянець;3;5925010100;
187;Броди;3;4620310100;
188;Полонне;3;6823610100;
189;Вишгород;3;3221810100;
190;Гадяч;3;5320410100;
191;Красноград;3;6323310100;
192;Кілія;3;5122310100;
193;Старобільськ;3;4425110100;
194;Ладижин;3;510600000;
195;Пологи;3;2324210100;
196;Амвросіївка;3;1420610100;
197;Кременець;3;6123410100;
198;Генічеськ;3;6522110100;
199;Сокаль;3;4624810100;
200;Курахове;3;1423310600;
201;Дніпрорудне;3;2320910400;
202;Волочиськ;3;6820910100;
203;Надвірна;3;2624010100;
204;Долина;3;2622010100;
205;Стебник;3;4610670500;
206;Вовчанськ;3;6321610100;
207;Красилів;3;6822710100;
208;П'ятихатки;3;1224510100;
209;Рені;3;5124110100;
210;Бахмач;3;7420310100;
211;Дергачі;3;6322010100;
212;Ватутіне;3;7110200000;
213;Калинівка;3;521610100;
214;Балта;3;5120610100;
215;Звенигородка;3;7121210100;
216;Зугрес;3;1415070500;
217;Скадовськ;3;6524710100;
218;Сватове;3;4424010100;
219;Шпола;3;7125710100;
220;Новоукраїнка;3;3524010100;
221;Корсунь-Шевченківський;3;7122510100;
222;Лутугине;3;4422210100;
223;Білогірськ;3;120710100;
224;Долинська;3;3521910100;
225;Ізяслав;3;6822110100;
226;Білопілля;3;5920610100;
227;Богодухів;3;6320810100;
228;Сквира;3;3224010100;
229;Карлівка;3;5321610100;
230;Оріхів;3;2323910100;
231;Білозерське;3;1411570500;
232;Золоте;3;4423810800;
233;Юнокомунарівськ;3;1412070700;
234;Підгородне;3;1221411000;
235;Роздільна;3;5123910100;
236;Городок;3;4620910100;
237;Червонопартизанськ;3;4412770600;
238;Іловайськ;3;1415070800;
239;Бережани;3;6120410100;
240;Новогродівка;3;1413600000;
241;Вугледар;3;1414800000;
242;Березань;3;3210400000;
243;Путивль;3;5923810100;
244;Болград;3;5121410100;
245;Бар;3;520210100;
246;Свалява;3;2124010100;
247;Богуслав;3;3220610100;
248;Гуляйполе;3;2321810100;
249;Зміїв;3;6321710100;
250;Овруч;3;1824210100;
251;Верхньодніпровськ;3;1221010100;
252;Очаків;3;4810300000;
253;Красногорівка;3;1423310400;
254;Ківерці;3;721810100;
255;Пирятин;3;5323810100;
256;Миколаївка;3;5123555100;
257;Часів Яр;3;1410370600;
258;Вільнянськ;3;2321510100;
259;Дунаївці;3;6821810100;
260;Апостолове;3;1220310100;
261;Тальне;3;7124010100;
262;Арциз;3;5120410100;
263;Новий Буг;3;4824510100;
264;Тульчин;3;524310100;
265;Гайворон;3;3521110100;
266;Городок;3;4620910100;
267;Гола Пристань;3;6510300000;
268;Носівка;3;7423810100;
269;Жашків;3;7120910100;
270;Городище;3;7120310100;
271;Василівка;3;2320910100;
272;Кам'янка-Дніпровська;3;2322410100;
273;Петровське;3;4411670900;
274;Берислав;3;6520610100;
275;Снігурівка;3;4825710100;
276;Радомишль;3;1825010100;
277;Бурштин;3;2610300000;
278;Рахів;3;2123610100;
279;Новгород-Сіверський;3;7410500000;
280;Кам'янка;3;7121810100;
281;Тетіїв;3;3224610100;
282;Миколаїв;3;4810100000;
283;Острог;3;5610900000;
284;Зеленодольськ;3;1220310300;
285;Вахрушеве;3;4411670300;
286;Хорол;3;5324810100;
287;Сторожинець;3;7324510100;
288;Судак;3;111700000;
289;Сіверськ;3;1420910400;
290;Корюківка;3;7422410100;
291;Біляївка;3;5121010100;
292;Гірник;3;4611845300;
293;Українка;3;3223110500;
294;Нова Одеса;3;4824810100;
295;Городня;3;421410100;
296;Щастя;3;4423110100;
297;Кагарлик;3;3222210100;
298;Жданівка;3;1412100000;
299;Березне;3;5620410100;
300;Теребовля;3;6125010100;
301;Винники;3;4610160300;
302;Рожище;3;724510100;
303;Яворів;3;4625810100;
304;Жовква;3;4622710100;
305;Тараща;3;3224410100;
306;Миронівка;3;3222910100;
307;Бершадь;3;520410100;
308;Українськ;3;1413870900;
309;Збараж;3;6122410100;
310;Новомиргород;3;3523810100;
311;Узин;3;3220410500;
312;Світлодарськ;3;1410970500;
313;Соледар;3;1410370300;
314;Баштанка;3;4820610100;
315;Мала Виска;3;3523110100;
316;Ірміно;3;4413170800;
317;Барвінкове;3;6320410100;
318;Приморськ;3;2324810100;
319;Мена;3;7423010100;
320;Глобине;3;5320610100;
321;Гнівань;3;524510500;
322;Комсомольське;3;1424510400;
323;Ічня;3;7421710100;
324;Новоазовськ;3;1423610100;
325;Баранівка;3;1820610100;
326;Бучач;3;6121210100;
327;Лохвиця;3;5322610100;
328;Щорс;3;7425810100;
329;Бобринець;3;3520810100;
330;Немирів;3;523010100;
331;Кобеляки;3;5321810100;
332;Родинське;3;1413270600;
333;Чигирин;3;7125410100;
334;Бобровиця;3;7420610100;
335;Соснівка;3;4611870400;
336;Жидачів;3;4621510100;
337;Ямпіль;3;1423056400;
338;Моспине;3;1410160500;
339;Борзна;3;7420810100;
340;Щолкіне;3;122710500;
341;Буринь;3;5920910100;
342;Кам'янка-Бузька;3;4622110100;
343;Гребінка;3;5320810100;
344;Христинівка;3;7124610100;
345;Гірське;3;4423810500;
346;Таврійськ;3;6510770800;
347;Борщів;3;6120810100;
348;Зимогір'я;3;4424510300;
349;Хотин;3;7325010100;
350;Іллінці;3;521210100;
351;Помічна;3;3521710300;
352;Олевськ;3;1824410100;
353;Камінь-Каширський;3;721410100;
354;Татарбунари;3;5125010100;
355;Погребище;3;523410100;
356;Мар'їнка;3;1423310100;
357;Болехів;3;2610200000;
358;Інкерман;3;8536310300;
359;Зіньків;3;5321310100;
360;Ходорів;3;4621510500;
361;Снятин;3;2625210100;
362;Деражня;3;6821510100;
363;Любомль;3;723310100;
364;Валки;3;6321210100;
365;Новодністровськ;3;7310600000;
366;Радивилів;3;5625810100;
367;Вуглегірськ;3;1420910200;
368;Сокиряни;3;7324010100;
369;Верхівцеве;3;1221010300;
370;Заліщики;3;6122010100;
371;Старий Крим;3;121610400;
372;Білицьке;3;1411570300;
373;Перещепине;3;1223210500;
374;Андрушівка;3;1820310100;
375;Пустомити;3;4623610100;
376;Городенка;3;2621610100;
377;Тисмениця;3;2625810100;
378;Тячів;3;2124410100;
379;Семенівка;3;7424710100;
380;Дубровиця;3;5621810100;
381;Кодима;3;5122510100;
382;Іршава;3;2121910100;
383;Березівка;3;5121210100;
384;Ананьїв;3;5120210100;
385;Монастирище;3;7123410100;
386;Липовець;3;522210100;
387;Вилкове;3;5122310300;
388;Радехів;3;4623910100;
389;Мостиська;3;4622410100;
390;Артемівськ;3;1410300000;
391;Новодружеськ;3;4411870400;
392;Червонозаводське;3;5322610600;
393;Алупка;3;111970200;
394;Горохів;3;720810100;
395;Привілля;3;4411870700;
396;Чоп;3;2111000000;
397;Заставна;3;7321510100;
398;Зоринськ;3;4423610600;
399;Тлумач;3;2625610100;
400;Теплодар;3;5111500000;
401;Ланівці;3;6123810100;
402;Буськ;3;4620610100;
403;Корець;3;5623010100;
404;Рогатин;3;2624410100;
405;Південне;3;6325111000;
406;Дубляни;3;4624255300;
407;Ржищів;3;3211300000;
408;Новоселиця;3;7323010100;
409;Ворожба;3;5920610300;
410;Косів;3;2623610100;
411;Почаїв;3;6123410500;
412;Рава-Руська;3;4622710400;
413;Молочанськ;3;2325210100;
414;Яремче;3;2611000000;
415;Турка;3;4625510100;
416;Кіцмань;3;7322510100;
417;Перемишляни;3;4623310100;
418;Ульяновка;3;3525510100;
419;Середина-Буда;3;5924410100;
420;Зборів;3;6122610100;
421;Хоростків;3;6121611000;
422;Остер;3;7422010400;
423;Шаргород;3;525310100;
424;Перечин;3;2123210100;
425;Олександрівськ;3;4410160300;
426;Копичинці;3;6121610400;
427;Сколе;3;4624510100;
428;Артемове;3;1411270300;
429;Судова Вишня;3;4622410500;
430;Галич;3;2621210100;
431;Моршин;3;4610700000;
432;Монастириська;3;6124210100;
433;Міусинськ;3;4411670600;
434;Вашківці;3;7320510400;
435;Великі Мости;3;4624810600;
436;Чуднів;3;1825810100;
437;Дружба;3;7421755300;
438;Старий Самбір;3;4625110100;
439;Шумськ;3;6125810100;
440;Святогірськ;3;1414170500;
441;Алмазна;3;4413170200;
442;Вижниця;3;7320510100;
443;Добромиль;3;4625110300;
444;Рудки;3;4624210400;
445;Хирів;3;4625110700;
446;Скалат;3;6124610500;
447;Комарно;3;4620910400;
448;Бібрка;3;4623310300;
449;Новий Калинів;3;4624210300;
450;Глиняни;3;4621810200;
451;Підгайці;3;6124810100;
452;Батурин;3;7420310300;
453;Белз;3;4624810300;
454;Устилуг;3;720510400;
455;Герца;3;7320710100;
456;Берестечко;3;720810300;
457;Угнів;3;4624810900;
50001;Дніпропетровська;1;1200000000;
50002;Львівська;1;4600000000;
50003;Івано-Франківська;1;2600000000;
50005;Київ;1;8000000000;
50006;Херсонська;1;6500000000;
50007;Рівненська;1;5600000000;
50008;Волинська;1;700000000;
50009;Тернопільська;1;6100000000;
50010;Автономна Республіка Крим;1;100000000;
50011;Вінницька;1;500000000;
50012;Донецька;1;1400000000;
50013;Житомирська;1;1800000000;
50014;Закарпатська;1;2100000000;
50015;Запорізька;1;2300000000;
50016;Київська;1;3200000000;
50017;Кіровоградська;1;3500000000;
50018;Луганська;1;4400000000;
50019;м. Севастополь, міськрада;1;8500000000;
50020;Миколаївська;1;4800000000;
50021;Одеська;1;5100000000;
50022;Полтавська;1;5300000000;
50023;Сумська;1;5900000000;
50024;Харківська;1;6300000000;
50025;Хмельницька;1;6800000000;
50026;Черкаська;1;7100000000;
50027;Чернівецька;1;7300000000;
50028;Чернігівська;1;7400000000;
458;Вільшана;5;5923584401;
459;"Недригайлівський район/смт Недригайлів";2;5923500000;
460;Недригайлів;4;5923555100;
461;Вакулки;5;5923555101;
462;Віхове;5;5923555102;
463;Теплик;4;0523755100;
464;Глеваха;3;3221455300;
465;Тернопільський район;3;6125200000;
466;Царичанський район;3;1225600000;
467;Колонщина;3;3222782601;
468;Теплицький район;3;0523700000;
469;Вишгородський район;3;3221800000;
470;Дніпропетровський район;3;1221400000;
471;Костопольський район;3;5623400000;
472;Новопсковський район;3;4423300000;
473;Смілянський район;3;7123700000;
474;Шепетівський район;3;6825500000;
475;Харківський район;3;6325100000;
476;Наддвірнянський район;3;2624000000;
477;Зоря;3;5624684900;
478;Єлизаветівка;3;1223780800;