nID;nID_Place;nID_Place_Parent;nID_Place_Area;nID_Place_Root
1;1;0;0;50001
2;2;0;0;50001
3;3;0;0;50002
4;4;0;0;50003
5;5;0;0;50003
6;6;0;0;50005
7;7;0;0;50006
8;8;0;0;50007
9;9;0;0;50008
10;10;0;0;50009
11;11;0;0;50024
12;12;0;0;50021
13;13;0;0;50012
14;14;0;0;50015
15;15;0;0;50020
16;16;0;0;50012
17;17;0;0;50018
18;18;0;0;50012
19;19;0;0;50011
20;20;0;0;50010
21;21;0;0;50022
22;22;0;0;50028
23;23;0;0;50026
24;24;0;0;50023
25;25;0;0;50012
26;26;0;0;50025
27;27;0;0;50013
28;28;0;0;50001
29;29;0;0;50017
30;30;0;0;50007
31;31;0;0;50027
32;32;0;0;50022
33;33;0;0;50016
34;34;0;0;50012
35;35;0;0;50015
36;36;0;0;50010
37;37;0;0;50001
38;38;0;0;50012
39;39;0;0;50015
40;40;0;0;50018
41;41;0;0;50018
42;42;0;0;50001
43;43;0;0;50014
44;44;0;0;50018
45;45;0;0;50010
46;46;0;0;50012
47;47;0;0;50025
48;48;0;0;50012
49;49;0;0;50018
50;50;0;0;50017
51;51;0;0;50023
52;52;0;0;50018
53;53;0;0;50026
54;54;0;0;50013
55;55;0;0;50023
56;56;0;0;50016
57;57;0;0;50021
58;58;0;0;50012
59;59;0;0;50014
60;60;0;0;50010
61;61;0;0;50002
62;62;0;0;50028
63;63;0;0;50010
64;64;0;0;50018
65;65;0;0;50001
66;66;0;0;50012
67;67;0;0;50002
68;68;0;0;50020
69;69;0;0;50026
70;70;0;0;50012
71;71;0;0;50013
72;72;0;0;50008
73;73;0;0;50018
74;74;0;0;50028
75;75;0;0;50012
76;76;0;0;50012
77;77;0;0;50024
78;78;0;0;50018
79;79;0;0;50002
80;80;0;0;50003
81;81;0;0;50012
82;82;0;0;50012
83;83;0;0;50013
84;84;0;0;50015
85;85;0;0;50024
86;86;0;0;50012
87;87;0;0;50018
88;88;0;0;50021
89;89;0;0;50016
90;90;0;0;50008
91;91;0;0;50018
92;92;0;0;50001
93;93;0;0;50022
94;94;0;0;50006
95;95;0;0;50016
96;96;0;0;50021
97;97;0;0;50022
98;98;0;0;50018
99;99;0;0;50023
100;100;0;0;50023
101;101;0;0;50017
102;102;0;0;50001
103;103;0;0;50025
104;104;0;0;50001
105;105;0;0;50012
106;106;0;0;50010
107;107;0;0;50018
108;108;0;0;50022
109;109;0;0;50020
110;110;0;0;50021
111;111;0;0;50016
112;112;0;0;50016
113;113;0;0;50007
114;114;0;0;50008
115;115;0;0;50006
116;116;0;0;50020
117;117;0;0;50002
118;118;0;0;50012
119;119;0;0;50011
120;120;0;0;50012
121;121;0;0;50024
122;122;0;0;50002
123;123;0;0;50015
124;124;0;0;50016
125;125;0;0;50023
126;126;0;0;50012
127;127;0;0;50025
128;128;0;0;50018
129;129;0;0;50016
130;130;0;0;50025
131;131;0;0;50025
132;132;0;0;50011
133;133;0;0;50016
134;134;0;0;50024
135;135;0;0;50024
136;136;0;0;50024
137;137;0;0;50001
138;138;0;0;50016
139;139;0;0;50010
140;140;0;0;50002
141;141;0;0;50010
142;142;0;0;50012
143;143;0;0;50007
144;144;0;0;50012
145;145;0;0;50018
146;146;0;0;50010
147;147;0;0;50017
148;148;0;0;50001
149;149;0;0;50001
150;150;0;0;50014
151;151;0;0;50009
152;152;0;0;50023
153;153;0;0;50026
154;154;0;0;50016
155;155;0;0;50002
156;156;0;0;50012
157;157;0;0;50007
158;158;0;0;50013
159;159;0;0;50011
160;160;0;0;50010
161;161;0;0;50012
162;162;0;0;50014
163;163;0;0;50026
164;164;0;0;50011
165;165;0;0;50002
166;166;0;0;50013
167;167;0;0;50018
168;168;0;0;50014
169;169;0;0;50011
170;170;0;0;50018
171;171;0;0;50023
172;172;0;0;50024
173;173;0;0;50012
174;174;0;0;50007
175;175;0;0;50018
176;176;0;0;50016
177;177;0;0;50012
178;178;0;0;50024
179;179;0;0;50006
180;180;0;0;50021
181;181;0;0;50010
182;182;0;0;50001
183;183;0;0;50016
184;184;0;0;50018
185;185;0;0;50002
186;186;0;0;50023
187;187;0;0;50002
188;188;0;0;50025
189;189;0;0;50016
190;190;0;0;50022
191;191;0;0;50024
192;192;0;0;50021
193;193;0;0;50018
194;194;0;0;50011
195;195;0;0;50015
196;196;0;0;50012
197;197;0;0;50009
198;198;0;0;50006
199;199;0;0;50002
200;200;0;0;50012
201;201;0;0;50015
202;202;0;0;50025
203;203;0;0;50003
204;204;0;0;50003
205;205;0;0;50002
206;206;0;0;50024
207;207;0;0;50025
208;208;0;0;50001
209;209;0;0;50021
210;210;0;0;50028
211;211;0;0;50024
212;212;0;0;50026
213;213;0;0;50011
214;214;0;0;50021
215;215;0;0;50026
216;216;0;0;50012
217;217;0;0;50006
218;218;0;0;50018
219;219;0;0;50026
220;220;0;0;50017
221;221;0;0;50026
222;222;0;0;50018
223;223;0;0;50010
224;224;0;0;50017
225;225;0;0;50025
226;226;0;0;50023
227;227;0;0;50024
228;228;0;0;50016
229;229;0;0;50022
230;230;0;0;50015
231;231;0;0;50012
232;232;0;0;50018
233;233;0;0;50012
234;234;0;0;50001
235;235;0;0;50021
236;236;0;0;50025
237;237;0;0;50018
238;238;0;0;50012
239;239;0;0;50009
240;240;0;0;50012
241;241;0;0;50012
242;242;0;0;50016
243;243;0;0;50023
244;244;0;0;50021
245;245;0;0;50011
246;246;0;0;50014
247;247;0;0;50016
248;248;0;0;50015
249;249;0;0;50024
250;250;0;0;50013
251;251;0;0;50001
252;252;0;0;50020
253;253;0;0;50012
254;254;0;0;50008
255;255;0;0;50022
256;256;0;0;50012
257;257;0;0;50012
258;258;0;0;50015
259;259;0;0;50025
260;260;0;0;50001
261;261;0;0;50026
262;262;0;0;50021
263;263;0;0;50020
264;264;0;0;50011
265;265;0;0;50017
266;266;0;0;50002
267;267;0;0;50006
268;268;0;0;50028
269;269;0;0;50026
270;270;0;0;50026
271;271;0;0;50015
272;272;0;0;50015
273;273;0;0;50018
274;274;0;0;50006
275;275;0;0;50020
276;276;0;0;50013
277;277;0;0;50003
278;278;0;0;50014
279;279;0;0;50028
280;280;0;0;50026
281;281;0;0;50016
282;282;0;0;50002
283;283;0;0;50007
284;284;0;0;50001
285;285;0;0;50018
286;286;0;0;50022
287;287;0;0;50027
288;288;0;0;50010
289;289;0;0;50012
290;290;0;0;50028
291;291;0;0;50021
292;292;0;0;50012
293;293;0;0;50016
294;294;0;0;50020
295;295;0;0;50028
296;296;0;0;50018
297;297;0;0;50016
298;298;0;0;50012
299;299;0;0;50007
300;300;0;0;50009
301;301;0;0;50002
302;302;0;0;50008
303;303;0;0;50002
304;304;0;0;50002
305;305;0;0;50016
306;306;0;0;50016
307;307;0;0;50011
308;308;0;0;50012
309;309;0;0;50009
310;310;0;0;50017
311;311;0;0;50016
312;312;0;0;50012
313;313;0;0;50012
314;314;0;0;50020
315;315;0;0;50017
316;316;0;0;50018
317;317;0;0;50024
318;318;0;0;50015
319;319;0;0;50028
320;320;0;0;50022
321;321;0;0;50011
322;322;0;0;50012
323;323;0;0;50028
324;324;0;0;50012
325;325;0;0;50013
326;326;0;0;50009
327;327;0;0;50022
328;328;0;0;50028
329;329;0;0;50017
330;330;0;0;50011
331;331;0;0;50022
332;332;0;0;50012
333;333;0;0;50026
334;334;0;0;50028
335;335;0;0;50002
336;336;0;0;50002
337;337;0;0;50011
338;338;0;0;50012
339;339;0;0;50028
340;340;0;0;50010
341;341;0;0;50023
342;342;0;0;50002
343;343;0;0;50022
344;344;0;0;50026
345;345;0;0;50018
346;346;0;0;50006
347;347;0;0;50009
348;348;0;0;50018
349;349;0;0;50027
350;350;0;0;50011
351;351;0;0;50017
352;352;0;0;50013
353;353;0;0;50008
354;354;0;0;50021
355;355;0;0;50011
356;356;0;0;50012
357;357;0;0;50003
358;358;0;0;50019
359;359;0;0;50022
360;360;0;0;50002
361;361;0;0;50003
362;362;0;0;50025
363;363;0;0;50008
364;364;0;0;50024
365;365;0;0;50027
366;366;0;0;50007
367;367;0;0;50012
368;368;0;0;50027
369;369;0;0;50001
370;370;0;0;50009
371;371;0;0;50010
372;372;0;0;50012
373;373;0;0;50001
374;374;0;0;50013
375;375;0;0;50002
376;376;0;0;50003
377;377;0;0;50003
378;378;0;0;50014
379;379;0;0;50028
380;380;0;0;50007
381;381;0;0;50021
382;382;0;0;50014
383;383;0;0;50021
384;384;0;0;50021
385;385;0;0;50026
386;386;0;0;50011
387;387;0;0;50021
388;388;0;0;50002
389;389;0;0;50002
390;390;0;0;50018
391;391;0;0;50018
392;392;0;0;50022
393;393;0;0;50010
394;394;0;0;50008
395;395;0;0;50018
396;396;0;0;50014
397;397;0;0;50027
398;398;0;0;50018
399;399;0;0;50003
400;400;0;0;50021
401;401;0;0;50009
402;402;0;0;50002
403;403;0;0;50007
404;404;0;0;50003
405;405;0;0;50024
406;406;0;0;50002
407;407;0;0;50016
408;408;0;0;50027
409;409;0;0;50023
410;410;0;0;50003
411;411;0;0;50009
412;412;0;0;50002
413;413;0;0;50015
414;414;0;0;50003
415;415;0;0;50002
416;416;0;0;50027
417;417;0;0;50002
418;418;0;0;50017
419;419;0;0;50023
420;420;0;0;50009
421;421;0;0;50009
422;422;0;0;50028
423;423;0;0;50011
424;424;0;0;50014
425;425;0;0;50018
426;426;0;0;50009
427;427;0;0;50002
428;428;0;0;50012
429;429;0;0;50002
430;430;0;0;50003
431;431;0;0;50002
432;432;0;0;50009
433;433;0;0;50018
434;434;0;0;50027
435;435;0;0;50002
436;436;0;0;50013
437;437;0;0;50023
438;438;0;0;50002
439;439;0;0;50009
440;440;0;0;50012
441;441;0;0;50018
442;442;0;0;50027
443;443;0;0;50002
444;444;0;0;50002
445;445;0;0;50002
446;446;0;0;50009
447;447;0;0;50002
448;448;0;0;50002
449;449;0;0;50002
450;450;0;0;50002
451;451;0;0;50009
452;452;0;0;50028
453;453;0;0;50002
454;454;0;0;50008
455;455;0;0;50027
456;456;0;0;50008
457;457;0;0;50002
458;458;460;459;50023
459;460;459;459;50023
460;461;460;459;50023
461;462;460;459;50023
462;459;50023;50023;50023
465;465;0;0;50009
466;466;0;0;50001
467;467;0;0;50016
468;468;0;0;50011
469;469;0;0;50016
470;470;0;0;50001
471;471;0;0;50007
472;472;0;0;50018
473;473;0;0;50026
474;474;0;0;50025
475;475;0;0;50024
476;476;0;0;50003
477;477;0;0;50007
478;478;0;0;50001